serial,uuid,page,format,cx,cy,dpi,matches_qa
A7-2A,04b94a96-a49b-b0cd-7301-fd4aae3cf5fb,13,QRCode,0.1556,0.2177,300,yes
A7-4A,64b94a96-a536-df44-1daa-92b7260b5bab,13,QRCode,0.2899,0.2053,300,yes
A7-2B,fab94a96-a5bc-723a-5629-3358a94a0cc0,13,QRCode,0.3969,0.2052,300,yes
A7-4B,c0b94a96-88bd-4680-9520-ead142620c14,13,QRCode,0.5034,0.2055,300,yes
A7-2C,30b94a96-895e-0422-97d8-7d52f947503a,13,QRCode,0.6108,0.2053,300,yes
A7-4C,beb94a96-8a02-3bb8-eca5-70e275a15ae5,13,QRCode,0.7175,0.2056,300,yes
A7-2D,8ab94a96-8ac1-d4b5-18fb-ad29f7f968fd,13,QRCode,0.8242,0.2054,300,yes
A7-1A,acb94a96-a457-961f-1770-cb5e8a5615c8,13,QRCode,0.1556,0.5787,300,yes
A7-3A,dab94a96-a4ec-b15c-962c-623d5582ae7c,13,QRCode,0.2898,0.5764,300,yes
A7-1B,6eb94a96-a57b-48e4-5cba-801dfed06109,13,QRCode,0.3967,0.5764,300,yes
A7-3B,48b94a96-886c-06a0-5be1-dc6eb7669ede,13,QRCode,0.5035,0.5756,300,yes
A7-1C,c8b94a96-8906-abe4-885b-21f4aa34a21d,13,QRCode,0.6106,0.5759,300,yes
A7-3C,92b94a96-89ab-f5dd-1468-a70d19db165e,13,QRCode,0.7177,0.5761,300,yes
A7-1D,90b94a96-8a64-4d4c-c4d5-4377b6d722c8,13,QRCode,0.8244,0.5756,300,yes
A7-2E,16b94a96-8b5f-e23f-ad1b-683fde96b63c,14,QRCode,0.1143,0.2151,300,yes
A7-4E,a8b94a96-8c78-8c98-9a03-6ca21ec9ac7e,14,QRCode,0.2245,0.2115,300,yes
A7-2G,0eb94a96-8d07-dc68-7094-72ba04cc6e97,14,QRCode,0.319,0.2119,300,yes
A7-4G,e4b94a96-8d93-bbad-87ff-f637c30c3271,14,QRCode,0.4138,0.2118,300,yes
A7-2H,34b94a96-8e1e-c394-e7eb-0f540c5f1a35,14,QRCode,0.5082,0.2119,300,yes
A7-4H,98b94a96-8ea9-901f-d00f-5362a4771997,14,QRCode,0.6028,0.2117,300,yes
A7-2J,7ab94a96-8f48-9bb5-e5c4-9e630957d098,14,QRCode,0.6974,0.2119,300,yes
A7-4J,14cbb20f-d3d2-af09-93a7-c950027e7cd7,14,Aztec,0.7881,0.2118,300,yes
A7-2K,d4cbb20f-d428-733d-99d0-a72019dc703c,14,Aztec,0.8779,0.205,300,yes
A7-1E,f2b94a96-8b0a-c622-41ef-95b5f5ef5f8a,14,QRCode,0.1144,0.5542,300,yes
A7-3E,62b94a96-8c33-d62a-d6e7-6b0ffa322276,14,QRCode,0.2247,0.5508,300,yes
A7-1G,7cb94a96-8cbd-59de-e008-a8da76bc5cd0,14,QRCode,0.319,0.5505,300,yes
A7-3G,f2b94a96-8d4d-8bde-d9b5-c4350f505558,14,QRCode,0.4138,0.5514,300,yes
A7-1H,1ab94a96-8dd9-8c5b-78e8-e82f5e8ebca0,14,QRCode,0.5084,0.551,300,yes
A7-3H,2cb94a96-8e67-46d3-652f-6980dfcc3bd5,14,QRCode,0.603,0.5511,300,yes
A7-1J,a0b94a96-8f01-e3fa-e161-7408692c3680,14,QRCode,0.6975,0.5514,300,yes
A7-3J,f0cbb20f-d477-a018-0084-535dd4c04058,14,Aztec,0.7916,0.5885,300,yes
A7-1K,04cbb20f-d37d-8a58-f60e-629201198c0c,14,Aztec,0.879,0.5875,300,yes
