serial,status,old_uuid,new_uuid
A7-1L,added,,04cbb20f-d37d-8a58-f60e-629201198c0c
A7-2L,added,,d4cbb20f-d428-733d-99d0-a72019dc703c
A7-3D,added,,90b94a96-8a64-4d4c-c4d5-4377b6d722c8
A7-4D,added,,8ab94a96-8ac1-d4b5-18fb-ad29f7f968fd
A7-1A,removed_phantom,acb94a96-a457-961f-1770-cb5e8a5615c8,
A7-2A,removed_phantom,04b94a96-a49b-b0cd-7301-fd4aae3cf5fb,
A7-3E,removed_phantom,62b94a96-8c33-d62a-d6e7-6b0ffa322276,
A7-4E,removed_phantom,a8b94a96-8c78-8c98-9a03-6ca21ec9ac7e,
A7-1B,relabeled,6eb94a96-a57b-48e4-5cba-801dfed06109,dab94a96-a4ec-b15c-962c-623d5582ae7c
A7-1C,relabeled,c8b94a96-8906-abe4-885b-21f4aa34a21d,48b94a96-886c-06a0-5be1-dc6eb7669ede
A7-1D,relabeled,90b94a96-8a64-4d4c-c4d5-4377b6d722c8,92b94a96-89ab-f5dd-1468-a70d19db165e
A7-1G,relabeled,7cb94a96-8cbd-59de-e008-a8da76bc5cd0,62b94a96-8c33-d62a-d6e7-6b0ffa322276
A7-1H,relabeled,1ab94a96-8dd9-8c5b-78e8-e82f5e8ebca0,f2b94a96-8d4d-8bde-d9b5-c4350f505558
A7-1J,relabeled,a0b94a96-8f01-e3fa-e161-7408692c3680,2cb94a96-8e67-46d3-652f-6980dfcc3bd5
A7-1K,relabeled,04cbb20f-d37d-8a58-f60e-629201198c0c,f0cbb20f-d477-a018-0084-535dd4c04058
A7-2B,relabeled,fab94a96-a5bc-723a-5629-3358a94a0cc0,64b94a96-a536-df44-1daa-92b7260b5bab
A7-2C,relabeled,30b94a96-895e-0422-97d8-7d52f947503a,c0b94a96-88bd-4680-9520-ead142620c14
A7-2D,relabeled,8ab94a96-8ac1-d4b5-18fb-ad29f7f968fd,beb94a96-8a02-3bb8-eca5-70e275a15ae5
A7-2G,relabeled,0eb94a96-8d07-dc68-7094-72ba04cc6e97,a8b94a96-8c78-8c98-9a03-6ca21ec9ac7e
A7-2H,relabeled,34b94a96-8e1e-c394-e7eb-0f540c5f1a35,e4b94a96-8d93-bbad-87ff-f637c30c3271
A7-2J,relabeled,7ab94a96-8f48-9bb5-e5c4-9e630957d098,98b94a96-8ea9-901f-d00f-5362a4771997
A7-2K,relabeled,d4cbb20f-d428-733d-99d0-a72019dc703c,14cbb20f-d3d2-af09-93a7-c950027e7cd7
A7-3A,relabeled,dab94a96-a4ec-b15c-962c-623d5582ae7c,acb94a96-a457-961f-1770-cb5e8a5615c8
A7-3B,relabeled,48b94a96-886c-06a0-5be1-dc6eb7669ede,6eb94a96-a57b-48e4-5cba-801dfed06109
A7-3C,relabeled,92b94a96-89ab-f5dd-1468-a70d19db165e,c8b94a96-8906-abe4-885b-21f4aa34a21d
A7-3G,relabeled,f2b94a96-8d4d-8bde-d9b5-c4350f505558,7cb94a96-8cbd-59de-e008-a8da76bc5cd0
A7-3H,relabeled,2cb94a96-8e67-46d3-652f-6980dfcc3bd5,1ab94a96-8dd9-8c5b-78e8-e82f5e8ebca0
A7-3J,relabeled,f0cbb20f-d477-a018-0084-535dd4c04058,a0b94a96-8f01-e3fa-e161-7408692c3680
A7-4A,relabeled,64b94a96-a536-df44-1daa-92b7260b5bab,04b94a96-a49b-b0cd-7301-fd4aae3cf5fb
A7-4B,relabeled,c0b94a96-88bd-4680-9520-ead142620c14,fab94a96-a5bc-723a-5629-3358a94a0cc0
A7-4C,relabeled,beb94a96-8a02-3bb8-eca5-70e275a15ae5,30b94a96-895e-0422-97d8-7d52f947503a
A7-4G,relabeled,e4b94a96-8d93-bbad-87ff-f637c30c3271,0eb94a96-8d07-dc68-7094-72ba04cc6e97
A7-4H,relabeled,98b94a96-8ea9-901f-d00f-5362a4771997,34b94a96-8e1e-c394-e7eb-0f540c5f1a35
A7-4J,relabeled,14cbb20f-d3d2-af09-93a7-c950027e7cd7,7ab94a96-8f48-9bb5-e5c4-9e630957d098
A7-1E,unchanged,f2b94a96-8b0a-c622-41ef-95b5f5ef5f8a,f2b94a96-8b0a-c622-41ef-95b5f5ef5f8a
A7-2E,unchanged,16b94a96-8b5f-e23f-ad1b-683fde96b63c,16b94a96-8b5f-e23f-ad1b-683fde96b63c
